Date,Boys,Girls,
2017-07-25,155,144,
2017-07-26,169,165,
2017-07-27,185,155,
2017-07-28,167,178,
2017-07-29,146,120,
2017-07-30,91,84,
2017-07-31,142,129,
2017-08-01,162,117,
2017-08-02,180,196,
2017-08-03,153,145,
2017-08-04,139,136,
2017-08-05,173,140,
2017-08-06,118,106,
2017-08-07,183,148,
2017-08-08,132,125,
2017-08-09,108,173,
2017-08-10,181,149,
2017-08-11,203,175,
2017-08-12,170,150,
2017-08-13,106,110,
2017-08-14,150,142,
2017-08-15,126,98,
2017-08-16,136,134,
2017-08-17,174,181,
2017-08-18,163,189,
2017-08-19,187,187,
2017-08-20,120,123,
2017-08-21,104,98,
2017-08-22,149,119,
2017-08-23,222,200,
2017-08-24,185,176,
2017-08-25,144,136,
2017-08-26,122,134,
2017-08-27,145,154,
2017-08-28,182,155,
2017-08-29,156,132,
2017-08-30,165,142,
2017-08-31,170,156,
2017-09-01,172,176,
2017-09-02,139,125,
2017-09-03,154,122,
2017-09-04,207,202,
2017-09-05,141,150,
2017-09-06,177,193,
2017-09-07,170,141,
2017-09-08,173,174,
2017-09-09,185,159,
2017-09-10,140,146,
2017-09-11,178,187,
2017-09-12,157,154,
2017-09-13,173,147,
2017-09-14,160,156,
2017-09-15,228,246,
2017-09-16,202,169,
2017-09-17,122,105,
2017-09-18,169,151,
2017-09-19,135,131,
2017-09-20,153,144,
2017-09-21,198,201,
2017-09-22,206,193,
2017-09-23,201,176,
2017-09-24,114,118,
2017-09-25,205,216,
2017-09-26,174,163,
2017-09-27,179,152,
2017-09-28,175,144,
2017-09-29,151,128,
2017-09-30,168,153,
2017-10-01,128,110,
2017-10-02,160,135,
2017-10-03,180,156,
2017-10-04,200,175,
2017-10-05,222,236,
2017-10-06,171,173,
2017-10-07,168,155,
2017-10-08,151,115,
2017-10-09,173,161,
2017-10-10,175,145,
2017-10-11,230,230,
2017-10-12,199,183,
2017-10-13,162,157,
2017-10-14,158,149,
2017-10-15,143,105,
2017-10-16,195,191,
2017-10-17,175,149,
2017-10-18,115,103,
2017-10-19,109,114,
2017-10-20,167,165,
2017-10-21,220,186,
2017-10-22,137,129,
2017-10-23,166,218,
2017-10-24,197,171,
2017-10-25,154,170,
2017-10-26,185,201,
2017-10-27,221,208,
2017-10-28,153,155,
2017-10-29,133,119,
2017-10-30,199,169,
2017-10-31,153,161,
2017-11-01,201,180,
2017-11-02,193,188,
2017-11-03,197,172,
2017-11-04,159,173,
2017-11-05,133,114,
2017-11-06,177,166,
2017-11-07,160,174,
2017-11-08,177,136,
2017-11-09,242,225,
2017-11-10,192,166,
2017-11-11,161,138,
2017-11-12,126,115,
2017-11-13,170,180,
2017-11-14,179,178,
2017-11-15,177,162,
2017-11-16,183,181,
2017-11-17,203,195,
2017-11-18,139,124,
2017-11-19,103,117,
2017-11-20,162,184,
2017-11-21,149,175,
2017-11-22,188,156,
2017-11-23,217,227,
2017-11-24,183,179,
2017-11-25,168,158,
2017-11-26,104,104,
2017-11-27,138,136,
2017-11-28,145,141,
2017-11-29,181,173,
2017-11-30,187,177,
2017-12-01,180,169,
2017-12-02,136,125,
2017-12-03,98,118,
2017-12-04,173,156,
2017-12-05,158,144,
2017-12-06,155,204,
2017-12-07,171,161,
2017-12-08,143,139,
2017-12-09,166,135,
2017-12-10,87,113,
2017-12-11,145,165,
2017-12-12,142,144,
2017-12-13,161,151,
2017-12-14,195,199,
2017-12-15,158,131,
2017-12-16,137,133,
2017-12-17,74,76,
2017-12-18,137,96,
2017-12-19,125,126,
2017-12-20,174,179,
2017-12-21,163,140,
2017-12-22,158,145,
2017-12-23,131,135,
2017-12-24,107,68,
2017-12-25,131,127,
2017-12-26,96,124,
2017-12-27,126,122,
2017-12-28,156,144,
2017-12-29,137,114,
2017-12-30,111,93,
2017-12-31,95,77,
2018-01-01,148,128,
2018-01-02,112,96,
2018-01-03,144,147,
2018-01-04,146,132,
2018-01-05,119,149,
2018-01-06,126,126,
2018-01-07,76,88,
2018-01-08,125,129,
2018-01-09,96,115,
2018-01-10,124,102,
2018-01-11,143,162,
2018-01-12,144,143,
2018-01-13,119,117,
2018-01-14,76,71,
2018-01-15,94,79,
2018-01-16,73,69,
2018-01-17,111,96,
2018-01-18,132,144,
2018-01-19,154,148,
2018-01-20,114,122,
2018-01-21,69,68,
2018-01-22,130,127,
2018-01-23,98,109,
2018-01-24,103,110,
2018-01-25,105,116,
2018-01-26,110,97,
2018-01-27,96,113,
2018-01-28,89,65,
2018-01-29,121,123,
2018-01-30,106,93,
2018-01-31,105,95,
2018-02-01,96,93,
2018-02-02,113,126,
2018-02-03,100,92,
2018-02-04,81,80,
2018-02-05,140,106,
2018-02-06,96,108,
2018-02-07,151,150,
2018-02-08,113,116,
2018-02-09,122,127,
2018-02-10,130,95,
2018-02-11,68,89,
2018-02-12,124,132,
2018-02-13,84,113,
2018-02-14,144,123,
2018-02-15,117,92,
2018-02-16,106,88,
2018-02-17,102,119,
2018-02-18,78,72,
2018-02-19,144,150,
2018-02-20,110,111,
2018-02-21,131,122,
2018-02-22,121,106,
2018-02-23,102,78,
2018-02-24,95,108,
2018-02-25,83,79,
2018-02-26,158,141,
2018-02-27,102,105,
2018-02-28,104,89,
2018-03-01,173,146,
2018-03-02,138,123,
2018-03-03,118,126,
2018-03-04,95,88,
2018-03-05,145,141,
2018-03-06,115,124,
2018-03-07,149,136,
