Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-04-18,II,MANALI,0,0,0,0
 2020-04-18,III,MADHAVARAM,3,2,1,0
 2020-04-18,IV,TONDIARPET,26,0,25,1
 2020-04-18,V,ROYAPURAM,73,12,56,5
 2020-04-18,VI,THIRU VI KA NAGAR,34,5,28,1
 2020-04-18,VII,AMBATTUR,0,0,0,0
 2020-04-18,VIII,ANNA NAGAR,24,10,14,0
 2020-04-18,IX,TEYNAMPET,19,6,13,0
 2020-04-18,X,KODAMBAKKAM,26,9,17,0
 2020-04-18,XI,VALASARAVAKKAM,5,3,2,0
 2020-04-18,XII,ALANDUR,3,1,2,0
 2020-04-18,XIII,ADYAR,7,2,5,0
 2020-04-18,XIV,PERUNGUDI,7,2,5,0
 2020-04-18,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-19,I,THIRUVOTTIYUR,5,0,5,0
 2020-04-19,II,MANALI,0,0,0,0
 2020-04-19,III,MADHAVARAM,3,3,0,0
 2020-04-19,IV,TONDIARPET,30,2,27,1
 2020-04-19,V,ROYAPURAM,91,16,70,5
 2020-04-19,VI,THIRU VI KA NAGAR,38,11,26,1
 2020-04-19,VII,AMBATTUR,0,0,0,0
 2020-04-19,VIII,ANNA NAGAR,26,10,16,0
 2020-04-19,IX,TEYNAMPET,36,6,30,0
 2020-04-19,X,KODAMBAKKAM,29,15,14,0
 2020-04-19,XI,VALASARAVAKKAM,5,4,1,0
 2020-04-19,XII,ALANDUR,5,2,3,0
 2020-04-19,XIII,ADYAR,7,2,3,0
 2020-04-19,XIV,PERUNGUDI,7,2,5,0
 2020-04-19,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-20,I,THIRUVOTTIYUR,9,0,9,0
 2020-04-20,II,MANALI,0,0,0,0
 2020-04-20,III,MADHAVARAM,3,3,0,0
 2020-04-20,IV,TONDIARPET,37,2,70,1
 2020-04-20,V,ROYAPURAM,92,17,70,5
 2020-04-20,VI,THIRU VI KA NAGAR,39,12,26,1
 2020-04-20,VII,AMBATTUR,0,0,0,0
 2020-04-20,VIII,ANNA NAGAR,27,10,16,1
 2020-04-20,IX,TEYNAMPET,38,6,32,0
 2020-04-20,X,KODAMBAKKAM,31,16,15,0
 2020-04-20,XI,VALASARAVAKKAM,5,4,1,0
 2020-04-20,XII,ALANDUR,5,2,3,0
 2020-04-20,XIII,ADYAR,7,4,3,0
 2020-04-20,XIV,PERUNGUDI,7,3,4,0
 2020-04-20,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-21,I,THIRUVOTTIYUR,12,2,10,0
 2020-04-21,II,MANALI,0,0,0,0
 2020-04-21,III,MADHAVARAM,3,3,0,0
 2020-04-21,IV,TONDIARPET,46,4,41,1
 2020-04-21,V,ROYAPURAM,116,18,93,5
 2020-04-21,VI,THIRU VI KA NAGAR,42,13,28,1
 2020-04-21,VII,AMBATTUR,1,0,1,0
 2020-04-21,VIII,ANNA NAGAR,27,10,16,1
 2020-04-21,IX,TEYNAMPET,42,6,36,0
 2020-04-21,X,KODAMBAKKAM,35,16,19,0
 2020-04-21,XI,VALASARAVAKKAM,9,4,5,0
 2020-04-21,XII,ALANDUR,7,2,5,0
 2020-04-21,XIII,ADYAR,7,4,3,0
 2020-04-21,XIV,PERUNGUDI,8,3,5,0
 2020-04-21,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-22,I,THIRUVOTTIYUR,13,2,11,0
 2020-04-22,II,MANALI,1,0,1,0
 2020-04-22,III,MADHAVARAM,3,3,0,0
 2020-04-22,IV,TONDIARPET,46,4,41,1
 2020-04-22,V,ROYAPURAM,117,28,84,5
 2020-04-22,VI,THIRU VI KA NAGAR,45,19,25,1
 2020-04-22,VII,AMBATTUR,1,0,1,0
 2020-04-22,VIII,ANNA NAGAR,32,10,21,1
 2020-04-22,IX,TEYNAMPET,44,7,37,0
 2020-04-22,X,KODAMBAKKAM,36,16,20,0
 2020-04-22,XI,VALASARAVAKKAM,10,4,6,0
 2020-04-22,XII,ALANDUR,7,2,5,0
 2020-04-22,XIII,ADYAR,7,4,3,0
 2020-04-22,XIV,PERUNGUDI,8,3,5,0
 2020-04-22,XV,SOZHINGANALLUR,2,1,1,0
 2020-04-23,I,THIRUVOTTIYUR,13,2,11,0
 2020-04-23,II,MANALI,1,0,1,0
 2020-04-23,III,MADHAVARAM,3,3,0,0
 2020-04-23,IV,TONDIARPET,56,7,48,1
 2020-04-23,V,ROYAPURAM,118,28,85,5
 2020-04-23,VI,THIRU VI KA NAGAR,49,19,29,1
 2020-04-23,VII,AMBATTUR,1,0,1,0
 2020-04-23,VIII,ANNA NAGAR,35,10,23,2
